id,institution,rank,city,state,website,institution_level,private,graduate_offering,urbanization_degree,distance_education_offered,undergraduate_application_fee,graduate_application_fee,graduation_rate,recommendations,admission_test_scores,TOEFL,total_applicants,total_admissions,acceptance_rate,total_enrolled,yield,SAT_reading_writing_lower,SAT_reading_writing_upper,SAT_math_lower,SAT_math_upper,ACT_composite_lower,ACT_composite_upper,ACT_english_lower,ACT_english_upper,ACT_math_lower,ACT_math_upper,out_of_state_tuition,out_of_state_fees,in_state_tuition,in_state_fees,out_of_state_total,in_state_total,address,city_id,location
480,State University of New York at New Paltz,150,New Paltz,New York,www.newpaltz.edu/,Four or more years,FALSE,TRUE,Suburb,TRUE,50,50,60,Required,Required,Not Required,8843,5484,62.02,974,17.76,530,630,540,630,24,29,20,26,23,29,16980,1346,7070,1346,18326,8416,"1 Hawk Drive, New Paltz, New York 12561-2443",8067,"(41.740967850000004, -74.0821758117377)"
488,SUNY Buffalo State,150,Buffalo,New York,suny.buffalostate.edu/,Four or more years,FALSE,TRUE,City,TRUE,50,65,30,Recommended,Considered,Required,13313,10660,80.07,1628,15.27,440,530,420,530,0,0,0,0,0,0,16980,1358,7070,1358,18338,8428,"1300 Elmwood Ave, Buffalo, New York 14222",3402,"(42.9345986, -78.88605006344082)"
489,SUNY College at Oswego,150,Oswego,New York,www.oswego.edu/,Four or more years,FALSE,TRUE,Town,TRUE,50,65,50,Required,Considered,Required,12277,8459,68.9,1270,15.01,510,600,510,590,20,26,0,0,0,0,16980,1581,7070,1581,18561,8651,"7060 State Route 104, Oswego, New York 13126",34046,"(43.4525481, -76.54504087416332)"
490,SUNY College at Plattsburgh,150,Plattsburgh,New York,www.plattsburgh.edu/,Four or more years,FALSE,TRUE,Town,TRUE,50,75,51,Required,Required,Required,9009,5498,61.03,893,16.24,490,590,490,580,18,25,18,23,18,25,16980,1504,7070,1504,18484,8574,"101 Broad Street, Plattsburgh, New York 12901-2681",7679,"(44.6944619, -73.4660594)"
491,SUNY College of Environmental Science and Forestry,117,Syracuse,New York,www.esf.edu/,Four or more years,FALSE,TRUE,City,TRUE,50,60,65,Required,Required,Required,1951,1174,60.17,302,25.72,570,650,560,650,24,30,21,30,24,28,16980,2060,7070,2060,19040,9130,"One Forestry Dr., Syracuse, New York 13210",7720,"(43.035416, -76.1365209)"
492,SUNY Polytechnic Institute,150,Utica,New York,www.sunypoly.edu/,Four or more years,FALSE,TRUE,Suburb,TRUE,50,60,44,Required,Considered,Required,3053,2238,73.3,352,15.73,480,660,520,690,20,29,23,29,25,30,16980,1357,7070,1357,18337,8427,"100 Seymour Rd, Utica, New York 13502",7613,"(43.13800205, -75.2294359077068)"
240,Indiana University-Northwest,150,Gary,Indiana,www.iun.edu/,Four or more years,FALSE,TRUE,City,TRUE,35,40,15,Considered,Considered,Required,2506,2047,81.68,663,32.39,450,550,440,540,17,23,15,22,17,24,19926,648,7067,648,20574,7715,"3400 Broadway, Gary, Indiana 46408-1197",38945,"(41.55705605, -87.3377100238435)"
242,Indiana University-South Bend,150,South Bend,Indiana,iusb.edu/,Four or more years,FALSE,TRUE,City,TRUE,35,40,11,Considered,Considered,Required,2712,2356,86.87,805,34.17,470,580,460,560,18,23,15,22,17,23,19926,648,7067,648,20574,7715,"1700 Mishawaka Ave, South Bend, Indiana 46615-7111",12442,"(41.665717, -86.223038)"
191,Fort Lewis College,150,Durango,Colorado,fortlewis.edu/,Four or more years,FALSE,TRUE,Town,TRUE,40,50,26,Not Required,Required,Required,3497,3200,91.51,813,25.41,480,590,470,580,16,22,14,21,16,21,17712,1840,7056,1840,19552,8896,"1000 Rim Drive, Durango, Colorado 81301-3999",12357,"(37.2859193, -107.8629891)"
143,Delaware State University,150,Dover,Delaware,www.desu.edu/,Four or more years,FALSE,TRUE,City,TRUE,35,50,26,Not Required,Required,Required,11317,4452,39.34,1001,22.48,420,520,390,490,17,22,15,23,16,20,16960,1320,7038,1320,18280,8358,"1200 N. Dupont Highway, Dover, Delaware 19901",12441,"(39.188329036092384, -75.53904188090789)"
379,Old Dominion University,150,Norfolk,Virginia,www.odu.edu/,Four or more years,FALSE,TRUE,City,TRUE,50,50,27,Recommended,Required,Required,13651,13024,95.41,3147,24.16,490,600,470,570,18,25,16,24,17,24,26664,4296,7029,3771,30960,10800,"5115 Hampton Blvd, Norfolk, Virginia 23529",3457,"(36.8852403, -76.3005659)"
628,University of North Carolina at Chapel Hill,150,Chapel Hill,North Carolina,www.unc.edu/,Four or more years,FALSE,TRUE,City,TRUE,85,95,82,Required,Required,Required,41773,10445,25,4445,42.56,640,730,640,760,28,33,28,35,26,32,34198,1961,7019,1961,36159,8980,"103 South Bldg Cb 9100, Chapel Hill, North Carolina 27599",9801,"(35.90503535, -79.04775326525107)"
553,University of Baltimore,150,Baltimore,Maryland,www.ubalt.edu/,Four or more years,FALSE,TRUE,City,TRUE,35,50,15,Not Required,Required,Recommended,274,219,79.93,74,33.79,470,558,460,520,19,31,16,34,22,26,19374,2082,7014,2082,21456,9096,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",3396,"(39.3061406, -76.61585660186952)"
273,Lewis-Clark State College,150,Lewiston,Idaho,www.lcsc.edu/,Four or more years,FALSE,FALSE,City,TRUE,0,0,22,Not Required,Required,Required,1577,1573,99.75,482,30.64,440,560,430,550,17,22,15,22,16,23,20238,0,6982,0,20238,6982,"500 8th Ave, Lewiston, Idaho 83501-2698",11565,"(46.412341, -117.024544)"
329,Missouri Southern State University,150,Joplin,Missouri,www.mssu.edu/,Four or more years,FALSE,TRUE,City,TRUE,30,35,15,Not Required,Required,Required,2034,2000,98.33,710,35.5,430,560,410,550,18,25,16,25,17,24,13928,0,6964,0,13928,6964,"3950 E. Newman Road, Joplin, Missouri 64801-1595",7557,"(37.0983162, -94.4821168)"
134,CUNY Bernard M Baruch College,150,New York,New York,www.baruch.cuny.edu/,Four or more years,FALSE,TRUE,City,TRUE,65,75,40,Recommended,Required,Required,24307,9895,40.71,2055,20.77,570,650,600,710,26,30,25,32,24,30,14880,532,6930,532,15412,7462,"55 Lexington Ave, New York, New York 10010",3455,"(40.70953090909091, -73.67909863636363)"
135,CUNY Brooklyn College,150,Brooklyn,New York,www.brooklyn.cuny.edu/,Four or more years,FALSE,TRUE,City,TRUE,65,75,29,Considered,Required,Required,29464,14655,49.74,2147,14.65,500,580,520,600,22,29,21,32,21,28,14880,510,6930,510,15390,7440,"2900 Bedford Ave, Brooklyn, New York 11210",9925,"(40.631068, -73.95198694395361)"
136,CUNY City College,150,New York,New York,www.ccny.cuny.edu/,Four or more years,FALSE,TRUE,City,TRUE,65,75,16,Not Required,Required,Required,29894,15107,50.54,2023,13.39,520,610,530,650,23,31,23,32,24,30,14880,410,6930,410,15290,7340,"160 Convent Ave, New York, New York 10031",3455,"(40.8192673, -73.9493043)"
137,CUNY Hunter College,150,New York,New York,www.hunter.cuny.edu/,Four or more years,FALSE,TRUE,City,TRUE,65,75,28,Not Required,Required,Required,32294,13072,40.48,2616,20.01,580,650,590,690,25,31,25,33,24,30,14880,452,6930,452,15332,7382,"695 Park Ave, New York, New York 10065",3455,"(40.7683107, -73.9644059567109)"
138,CUNY John Jay College of Criminal Justice,150,New York,New York,www.jjay.cuny.edu/,Four or more years,FALSE,TRUE,City,TRUE,65,75,26,Not Required,Required,Required,21021,7869,37.43,1692,21.5,510,580,510,580,21,25,20,25,18,26,14880,540,6930,540,15420,7470,"524 W 59th St, New York, New York 10019",3455,"(40.7708819, -73.98970548455259)"
139,CUNY Lehman College,150,Bronx,New York,www.lehman.edu/,Four or more years,FALSE,TRUE,City,TRUE,65,75,24,Not Required,Required,Required,20057,9428,47.01,1327,14.08,480,540,480,540,0,0,0,0,0,0,14880,480,6930,480,15360,7410,"250 Bedford Park Blvd West, Bronx, New York 10468",10809,"(40.8722825, -73.8948917141949)"
140,CUNY Queens College,150,Queens,New York,www.qc.cuny.edu/,Four or more years,FALSE,TRUE,City,TRUE,65,75,30,Recommended,Required,Required,25621,13704,53.49,2228,16.26,510,590,530,600,22,27,22,29,21,26,14880,608,6930,608,15488,7538,"65-30 Kissena Blvd, Queens, New York 11367",10027,"(40.7351561, -73.815966)"
26,Augusta University,150,Augusta,Georgia,www.augusta.edu/,Four or more years,FALSE,TRUE,City,TRUE,55,55,9,Not Required,Required,Required,3692,3060,82.88,1028,33.59,520,620,500,590,19,26,19,27,18,25,22270,2130,6892,2130,24400,9022,"1120 15th St, Augusta, Georgia 30912",9221,"(33.471100050000004, -81.98981674626567)"
