,id,institution,rank,city,state,state_full,website,institution_level,institution_control,degree_graning_status,undergraduate_offering,graduate_offering,urbanization_degree,distance_education_offered,distance_education_programs_offered,undergraduate_application_fee,graduate_application_fee,graduation_rate,recommendations,admission_test_scores,TOEFL,total_applicants,total_admissions,acceptance_rate,total_enrolled,yield,SAT_reading_writing_lower,SAT_reading_writing_upper,SAT_math_lower,SAT_math_upper,ACT_composite_lower,ACT_composite_upper,ACT_english_lower,ACT_english_upper,ACT_math_lower,ACT_math_upper,out_of_state_tuition,out_of_state_fees,in_state_tuition,in_state_fees,out_of_state_total,in_state_total,address,city_id,location,lat,lon
159,160,Eastern Kentucky University,150+,Richmond,KY,Kentucky,www.eku.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,0,0.0,30.0,Not Required,Required,Required,9206,9017,97.95,2271,25.19,480.0,590.0,470.0,580.0,19.0,25.0,18.0,25.0,17.0,25.0,19338.0,610.0,9266.0,610.0,19948,9876,"521 Lancaster Ave, Richmond, Kentucky 40475-3102",9080,"(37.743037450069195, -84.30145302035167)",37.743037450069195, -84.30145302035167
160,161,Eastern Michigan University,150+,Ypsilanti,MI,Michigan,www.emich.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,35,45.0,17.0,Considered,Required,Required,15957,11997,75.18,1922,16.02,490.0,610.0,490.0,590.0,19.0,26.0,18.0,26.0,17.0,26.0,13500.0,310.0,13500.0,310.0,13810,13810,"900 Oakwood St., Ypsilanti, Michigan 48197",7860,"(42.248331, -83.629141)",42.248331, -83.629141
161,162,Eastern Nazarene College,150+,Quincy,MA,Massachusetts,www.enc.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,0,0,0.0,29.0,Considered,Considered,Required,1005,647,64.38,123,19.01,460.0,570.0,443.0,580.0,16.0,24.0,13.0,21.0,16.0,24.0,25952.0,1000.0,25952.0,1000.0,26952,26952,"23 E Elm Ave, Quincy, Massachusetts 02170-2999",36020,"(42.2715556, -71.010845864402)",42.2715556, -71.010845864402
162,163,Edward Waters College,150+,Jacksonville,FL,Florida,www.ewc.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Large,Yes,0,25,,10.0,Not Required,Required,Recommended,5364,3059,57.03,272,8.89,430.0,510.0,390.0,480.0,14.0,18.0,11.0,17.0,14.0,16.0,14658.0,220.0,14658.0,220.0,14878,14878,"1658 Kings Rd, Jacksonville, Florida 32209",3435,"(30.3450461, -81.6848061)",30.3450461, -81.6848061
163,164,Elizabeth City State University,150+,Elizabeth City,NC,North Carolina,www.ecsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,30,30.0,21.0,Not Required,Required,Required,2578,1929,74.83,364,18.87,430.0,500.0,410.0,500.0,15.0,19.0,13.0,19.0,15.0,18.0,5000.0,2260.0,1000.0,2260.0,7260,3260,"1704 Weeksville Rd, Elizabeth City, North Carolina 27909",34289,"(36.2793581, -76.21381796078433)",36.2793581, -76.21381796078433
164,165,Elmira College,150+,Elmira,NY,New York,www.elmira.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,0,0,0.0,61.0,Considered,Considered,Required,1695,1409,83.13,163,11.57,446.0,652.0,444.0,650.0,17.0,27.0,15.0,25.0,16.0,27.0,34578.0,1650.0,34578.0,1650.0,36228,36228,"One Park Place, Elmira, New York 14901",34781,"(42.09529675, -76.81257147351064)",42.09529675, -76.81257147351064
165,166,Embry-Riddle Aeronautical University-Daytona Beach,150+,Daytona Beach,FL,Florida,daytonabeach.erau.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,0,50,50.0,32.0,Considered,Considered,Required,9581,5806,60.6,1499,25.82,560.0,660.0,560.0,670.0,23.0,30.0,21.0,29.0,22.0,28.0,36456.0,1508.0,36456.0,1508.0,37964,37964,"1 Aerospace Blvd., Daytona Beach, Florida 32114-3900",10657,"(29.18860975, -81.05001719063273)",29.18860975, -81.05001719063273
166,167,Embry-Riddle Aeronautical University-Prescott,150+,Prescott,AZ,Arizona,prescott.erau.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Rural: Fringe,Yes,0,50,50.0,41.0,Considered,Considered,Required,4250,2841,66.85,743,26.15,570.0,650.0,570.0,670.0,23.0,29.0,21.0,29.0,23.0,28.0,36456.0,1408.0,36456.0,1408.0,37864,37864,"3700 Willow Creek Road, Prescott, Arizona 86301-3720",9094,"(34.61587285, -112.45285923668314)",34.61587285, -112.45285923668314
167,168,Emerson College,150+,Boston,MA,Massachusetts,www.emerson.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,65,65.0,75.0,Required,Considered,Required,13326,5470,41.05,939,17.17,610.0,690.0,580.0,690.0,27.0,31.0,29.0,35.0,24.0,28.0,50240.0,908.0,50240.0,908.0,51148,51148,"120 Boylston Street, Boston, Massachusetts 02116-4624",3400,"(42.3522439, -71.0655492)",42.3522439, -71.0655492
168,169,Emmanuel College,150+,Franklin Springs,GA,Georgia,www.emmanuel.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,60,0.0,58.0,Required,Considered,Required,5450,4116,75.52,419,10.18,570.0,650.0,540.0,630.0,23.0,29.0,,,,,42096.0,420.0,42096.0,420.0,42516,42516,"400 The Fenway, Boston, Massachusetts 02115",3400,"(42.350499600000006, -71.08335956740865)",42.350499600000006, -71.08335956740865
